gene_name	quality	n	total	percent
DCLRE1C	mid: >23, <=33	3	76	3.9473684210526314
DCLRE1C	high: >33	73	76	96.05263157894737
DEAF1	low: >17, <= 23	1	76	1.3157894736842104
DEAF1	mid: >23, <=33	10	76	13.157894736842104
DEAF1	high: >33	65	76	85.52631578947368
DMPK	very low: <= 17	4	76	5.263157894736842
DMPK	mid: >23, <=33	10	76	13.157894736842104
DMPK	high: >33	62	76	81.57894736842105
DNMT3L	low: >17, <= 23	24	76	31.57894736842105
DNMT3L	mid: >23, <=33	5	76	6.578947368421052
DNMT3L	high: >33	47	76	61.8421052631579
DOK7	very low: <= 17	1	76	1.3157894736842104
DOK7	low: >17, <= 23	1	76	1.3157894736842104
DOK7	mid: >23, <=33	4	76	5.263157894736842
DOK7	high: >33	70	76	92.10526315789474
DPY19L2	mid: >23, <=33	2	76	2.631578947368421
DPY19L2	high: >33	74	76	97.36842105263158
DRD4	very low: <= 17	13	76	17.105263157894736
DRD4	low: >17, <= 23	9	76	11.842105263157894
DRD4	mid: >23, <=33	7	76	9.210526315789473
DRD4	high: >33	47	76	61.8421052631579
DSPP	very low: <= 17	3	76	3.9473684210526314
DSPP	low: >17, <= 23	24	76	31.57894736842105
DSPP	mid: >23, <=33	23	76	30.263157894736842
DSPP	high: >33	26	76	34.21052631578947
ECHS1	very low: <= 17	3	76	3.9473684210526314
ECHS1	low: >17, <= 23	6	76	7.894736842105263
ECHS1	mid: >23, <=33	18	76	23.684210526315788
ECHS1	high: >33	49	76	64.47368421052632
EEF1A2	very low: <= 17	5	76	6.578947368421052
EEF1A2	low: >17, <= 23	8	76	10.526315789473683
EEF1A2	mid: >23, <=33	17	76	22.36842105263158
EEF1A2	high: >33	46	76	60.526315789473685
EIF2B5	mid: >23, <=33	5	74	6.756756756756757
EIF2B5	high: >33	69	74	93.24324324324324
ENO3	low: >17, <= 23	1	76	1.3157894736842104
ENO3	mid: >23, <=33	24	76	31.57894736842105
ENO3	high: >33	51	76	67.10526315789474
ESPN	mid: >23, <=33	1	76	1.3157894736842104
ESPN	high: >33	75	76	98.68421052631578
ESRRA	very low: <= 17	5	76	6.578947368421052
ESRRA	mid: >23, <=33	17	76	22.36842105263158
ESRRA	high: >33	54	76	71.05263157894737
ETFB	low: >17, <= 23	4	76	5.263157894736842
ETFB	mid: >23, <=33	11	76	14.473684210526317
ETFB	high: >33	61	76	80.26315789473685
ETHE1	very low: <= 17	13	76	17.105263157894736
ETHE1	low: >17, <= 23	2	76	2.631578947368421
ETHE1	mid: >23, <=33	8	76	10.526315789473683
ETHE1	high: >33	53	76	69.73684210526315
EXTL2	mid: >23, <=33	7	76	9.210526315789473
EXTL2	high: >33	69	76	90.78947368421053
F7	very low: <= 17	18	76	23.684210526315788
F7	low: >17, <= 23	6	76	7.894736842105263
F7	mid: >23, <=33	18	76	23.684210526315788
F7	high: >33	34	76	44.73684210526316
FAT1	high: >33	76	76	100
FCGR2B	very low: <= 17	19	76	25
FCGR2B	low: >17, <= 23	14	76	18.421052631578945
FCGR2B	mid: >23, <=33	17	76	22.36842105263158
FCGR2B	high: >33	26	76	34.21052631578947
FCGR3A	mid: >23, <=33	1	76	1.3157894736842104
FCGR3A	high: >33	75	76	98.68421052631578
FGF3	low: >17, <= 23	1	76	1.3157894736842104
FGF3	mid: >23, <=33	22	76	28.947368421052634
FGF3	high: >33	53	76	69.73684210526315
FGFRL1	low: >17, <= 23	5	76	6.578947368421052
FGFRL1	mid: >23, <=33	7	76	9.210526315789473
FGFRL1	high: >33	64	76	84.21052631578947
FKBP8	mid: >23, <=33	22	76	28.947368421052634
FKBP8	high: >33	54	76	71.05263157894737
FLAD1	mid: >23, <=33	46	76	60.526315789473685
FLAD1	high: >33	30	76	39.473684210526315
FLG	very low: <= 17	21	76	27.631578947368425
FLG	low: >17, <= 23	4	76	5.263157894736842
FLG	mid: >23, <=33	7	76	9.210526315789473
FLG	high: >33	44	76	57.89473684210527
FLT4	very low: <= 17	2	76	2.631578947368421
FLT4	low: >17, <= 23	5	76	6.578947368421052
FLT4	mid: >23, <=33	2	76	2.631578947368421
FLT4	high: >33	67	76	88.1578947368421
FOXN1	low: >17, <= 23	2	76	2.631578947368421
FOXN1	mid: >23, <=33	6	76	7.894736842105263
FOXN1	high: >33	68	76	89.47368421052632
FSCN2	very low: <= 17	5	76	6.578947368421052
FSCN2	low: >17, <= 23	12	76	15.789473684210526
FSCN2	mid: >23, <=33	28	76	36.84210526315789
FSCN2	high: >33	31	76	40.78947368421053
FUT1	very low: <= 17	5	76	6.578947368421052
FUT1	low: >17, <= 23	15	76	19.736842105263158
FUT1	mid: >23, <=33	21	76	27.631578947368425
FUT1	high: >33	35	76	46.05263157894737
FXN	low: >17, <= 23	2	76	2.631578947368421
FXN	mid: >23, <=33	1	76	1.3157894736842104
FXN	high: >33	73	76	96.05263157894737
G6PC3	mid: >23, <=33	26	76	34.21052631578947
G6PC3	high: >33	50	76	65.78947368421053
GAK	low: >17, <= 23	1	76	1.3157894736842104
GAK	mid: >23, <=33	8	76	10.526315789473683
GAK	high: >33	67	76	88.1578947368421
GALR1	very low: <= 17	13	76	17.105263157894736
GALR1	low: >17, <= 23	14	76	18.421052631578945
GALR1	mid: >23, <=33	3	76	3.9473684210526314
GALR1	high: >33	46	76	60.526315789473685
GALT	low: >17, <= 23	1	76	1.3157894736842104
GALT	mid: >23, <=33	35	76	46.05263157894737
GALT	high: >33	40	76	52.63157894736842
GCSH	very low: <= 17	3	76	3.9473684210526314
GCSH	mid: >23, <=33	6	76	7.894736842105263
GCSH	high: >33	67	76	88.1578947368421
GDF3	very low: <= 17	7	76	9.210526315789473
GDF3	mid: >23, <=33	14	76	18.421052631578945
GDF3	high: >33	55	76	72.36842105263158
GIP	very low: <= 17	1	76	1.3157894736842104
GIP	mid: >23, <=33	9	76	11.842105263157894
GIP	high: >33	66	76	86.8421052631579
GOLGA3	low: >17, <= 23	5	76	6.578947368421052
GOLGA3	mid: >23, <=33	22	76	28.947368421052634
GOLGA3	high: >33	49	76	64.47368421052632
GP1BA	very low: <= 17	3	76	3.9473684210526314
GP1BA	low: >17, <= 23	1	76	1.3157894736842104
GP1BA	mid: >23, <=33	20	76	26.31578947368421
GP1BA	high: >33	52	76	68.42105263157895
GP6	very low: <= 17	1	76	1.3157894736842104
GP6	low: >17, <= 23	3	76	3.9473684210526314
GP6	mid: >23, <=33	11	76	14.473684210526317
GP6	high: >33	61	76	80.26315789473685
GPI	mid: >23, <=33	4	76	5.263157894736842
GPI	high: >33	72	76	94.73684210526315
GPIHBP1	very low: <= 17	41	74	55.4054054054054
GPIHBP1	low: >17, <= 23	3	74	4.054054054054054
GPIHBP1	mid: >23, <=33	3	74	4.054054054054054
GPIHBP1	high: >33	27	74	36.486486486486484
GRIN1	low: >17, <= 23	12	76	15.789473684210526
GRIN1	mid: >23, <=33	21	76	27.631578947368425
